"Player","Level","Xp"
"brunozo","99",200000000
"Vytautas45","99",200000000
"iCyclone","99",200000000
"Thulthar","99",200000000
"Gemcat","99",200000000
"Melbourne","99",200000000
"Jeffette","99",200000000
"Brad is rad","99",200000000
"Any dcersss","99",200000000
"Akpaloli","99",200000000
"Tank Factor","99",200000000
"RsRuffy","99",200000000
"Alvil","99",200000000
"ESCANOR the1","99",200000000
"Konota","99",200000000
"Calculus","99",200000000
"weedfield","99",200000000
"ZIRGU ZAGLIS","99",200000000
"Yunahon","99",200000000
"Angel Cloud","99",200000000
"iron dude4","99",200000000
"Iris By GGD","99",200000000
"Lance Jr","99",200000000
"Sleepy Trev","99",200000000
"Ruby Rose","99",200000000
"Terd","99",190078835
"CaptainLevi","99",190051444
"Connorina","99",190005670
"Fragile Hope","99",190004700
"Rush Rat 129","99",190003267
"BradC","99",189939441
"Th0rium","99",189910513
"SkinTone5","99",189869481
"King Tritonn","99",189866803
"Faveladoiraq","99",189864123
"MrRoronoa","99",189837297
"Public Enemy","99",189830783
"Cat Champs","99",189785312
"Mummybear","99",189747257
"K Graber","99",189693999
"7 A M A D A","99",189652001
"Elsa BLM","99",189575429
"Its Luis","99",189557981
"Vorging","99",189528630
"Lazy Dan","99",189498923
"Far Quie","99",189454494
"N1GHT73","99",189454487
"Half G","99",189454445
"Vincent 7c","99",189437506
"mrticklepro","99",189393236
"S A D R N G","99",146362288
"xMiztics","99",146359911
"King Wadu","99",146348913
"Reality Suks","99",146339899
"Lightning dk","99",146335377
"fluffyshots","99",146329543
"Demin","99",146318435
"Antonin","99",146308380
"Draakje X_X","99",146306837
"Dr Quix","99",146306242
"Thaler","99",146299188
"Cher Ami91","99",146296350
"Hoods Wrath","99",146295524
"Santosga","99",146289017
"Hot Nerd","99",146249898
"alexdrewdad","99",146247506
"Khmer Mage03","99",146231280
"CurlyKicker","99",146213845
"Sliske Suck","99",146207326
"Greeni","99",146189435
"Sunami","99",146184176
"Oceanborn","99",146162968
"Lab Chemist","99",146155163
"NA Hopium","99",146129148
"uowap","99",146117227
"XeroCrits","99",104487349
"GeorgeJ","99",104487340
"XtractArtist","99",104487226
"WFZ","99",104487210
"PackMyYak","99",104487198
"Drama","99",104487176
"streaktyme","99",104487098
"Sickest","99",104487032
"Axeraid444","99",104486948
