"Rank","Total XP","Level","Player","Skill"
"383,227","102,869,253","1,969","starfan28","Overall"
"510,604","1,536,258","77","starfan28","Atk"
"278,400","13,083,179","99","starfan28","Def"
"357,106","6,008,581","91","starfan28","Str"
"329,252","10,512,006","96","starfan28","Constiution"
"457,795","1,664,855","78","starfan28","Range"
"400,533","1,292,457","75","starfan28","Prayer"
"255,930","13,404,009","99","starfan28","Magic"
"199,976","13,241,127","99","starfan28","Cooking"
"116,727","14,832,378","99","starfan28","WoodCutting"
"505,768","776,249","70","starfan28","Fletching"
"370,109","1,922,535","79","starfan28","Fishing"
"386,807","2,258,390","81","starfan28","FireMaking"
"439,937","1,240,008","75","starfan28","Crafting"
"466,040","1,039,975","73","starfan28","Smithing"
"311,152","3,284,629","85","starfan28","Mining"
"476,203","230,251","58","starfan28","Herb"
"389,048","887,505","71","starfan28","Agile"
"347,548","739,886","70","starfan28","Theiving"
"413,834","938,011","72","starfan28","Slayer"
"413,398","220,482","57","starfan28","Farming"
"137,700","13,204,827","99","starfan28","RuneCrafting"
"466,623","220,467","57","starfan28","Hunting"
"534,825","103,114","50","starfan28","Construction"
"510,872","77,086","47","starfan28","Summoning"
"576,342","68,681","46","starfan28","Dungeoneering"
"468,884","78,558","47","starfan28","Div"
"--","--","--","starfan28","Inven"
"447,108","3,749","18","starfan28","Arc"
"53,676","1,178,889,680","2,866","SkiastrasPet","Overall"
"224,311","13,362,188","99","SkiastrasPet","Atk"
"106,508","29,647,834","99","SkiastrasPet","Def"
"241,728","13,363,938","99","SkiastrasPet","Str"
"130,162","37,576,440","99","SkiastrasPet","Constiution"
"70,592","47,898,706","99","SkiastrasPet","Range"
"100,833","15,223,929","99","SkiastrasPet","Prayer"
"135,129","21,072,231","99","SkiastrasPet","Magic"
"86,029","16,181,779","99","SkiastrasPet","Cooking"
"65,858","18,229,794","99","SkiastrasPet","WoodCutting"
"71,872","15,350,241","99","SkiastrasPet","Fletching"
"99,267","19,421,647","99","SkiastrasPet","Fishing"
"122,883","14,842,827","99","SkiastrasPet","FireMaking"
"61,037","18,680,925","99","SkiastrasPet","Crafting"
"86,980","16,190,262","99","SkiastrasPet","Smithing"
"53,802","30,155,442","99","SkiastrasPet","Mining"
"56,987","74,849,057","116","SkiastrasPet","Herb"
"94,285","15,437,360","99","SkiastrasPet","Agile"
"162,508","13,281,644","99","SkiastrasPet","Theiving"
"99,715","33,261,222","108","SkiastrasPet","Slayer"
"13,630","184,844,896","120","SkiastrasPet","Farming"
"39,491","18,826,808","99","SkiastrasPet","RuneCrafting"
"35,108","33,035,161","99","SkiastrasPet","Hunting"
"66,997","16,532,394","99","SkiastrasPet","Construction"
"53,298","17,657,894","99","SkiastrasPet","Summoning"
"109,779","21,575,534","104","SkiastrasPet","Dungeoneering"
"41,040","22,389,527","99","SkiastrasPet","Div"
"21,136","200,000,000","120","SkiastrasPet","Inven"
"1,102","200,000,000","120","SkiastrasPet","Arc"
"547,546","25,106,854","1,502","M1xk","Overall"
"510,720","1,534,678","77","M1xk","Atk"
"532,849","1,237,963","75","M1xk","Def"
"571,721","1,215,708","75","M1xk","Str"
"577,404","1,433,167","76","M1xk","Constiution"
"586,935","498,788","66","M1xk","Range"
"666,176","105,548","50","M1xk","Prayer"
"549,167","1,037,219","73","M1xk","Magic"
"404,291","1,657,202","78","M1xk","Cooking"
"587,161","862,698","71","M1xk","WoodCutting"
"574,068","370,988","63","M1xk","Fletching"
"584,573","413,986","64","M1xk","Fishing"
"254,129","13,038,528","99","M1xk","FireMaking"
"607,662","276,867","60","M1xk","Crafting"
