"Rank","Total XP","Level","Player","Skill"
"50,895","1,053,266,637","2,870","Morn+Stor","Overall"
"42,094","59,746,163","99","Morn+Stor","Atk"
"223,309","13,989,880","99","Morn+Stor","Def"
"68,393","34,200,225","99","Morn+Stor","Str"
"77,787","65,701,833","99","Morn+Stor","Constiution"
"100,395","30,498,473","99","Morn+Stor","Range"
"108,950","14,932,411","99","Morn+Stor","Prayer"
"49,525","73,350,209","99","Morn+Stor","Magic"
"49,928","20,890,008","99","Morn+Stor","Cooking"
"64,807","18,364,850","99","Morn+Stor","WoodCutting"
"28,280","24,078,213","99","Morn+Stor","Fletching"
"118,200","17,139,637","99","Morn+Stor","Fishing"
"64,298","20,433,517","99","Morn+Stor","FireMaking"
"89,871","15,804,013","99","Morn+Stor","Crafting"
"45,433","23,108,746","99","Morn+Stor","Smithing"
"34,674","46,056,987","99","Morn+Stor","Mining"
"35,598","105,977,905","120","Morn+Stor","Herb"
"104,946","14,879,967","99","Morn+Stor","Agile"
"82,757","18,164,391","99","Morn+Stor","Theiving"
"62,816","71,707,789","116","Morn+Stor","Slayer"
"134,533","16,150,034","101","Morn+Stor","Farming"
"116,029","13,447,226","99","Morn+Stor","RuneCrafting"
"48,110","24,188,908","99","Morn+Stor","Hunting"
"42,981","20,788,516","99","Morn+Stor","Construction"
"112,763","14,008,118","99","Morn+Stor","Summoning"
"64,950","68,860,359","115","Morn+Stor","Dungeoneering"
"64,965","17,210,468","99","Morn+Stor","Div"
"90,973","83,360,071","120","Morn+Stor","Inven"
"47,595","106,227,720","120","Morn+Stor","Arc"
"1,292,689","68,065","278","cloyd21","Overall"
"1,178,778","14,417","30","cloyd21","Atk"
"1,394,348","2,790","16","cloyd21","Def"
"1,172,954","13,962","30","cloyd21","Str"
"--","--","--","cloyd21","Constiution"
"--","--","--","cloyd21","Range"
"1,002,139","10,595","27","cloyd21","Prayer"
"1,228,018","3,117","17","cloyd21","Magic"
"1,259,825","2,551","15","cloyd21","Cooking"
"1,361,267","2,424","15","cloyd21","WoodCutting"
"--","--","--","cloyd21","Fletching"
"--","--","--","cloyd21","Fishing"
"--","--","--","cloyd21","FireMaking"
"--","--","--","cloyd21","Crafting"
"--","--","--","cloyd21","Smithing"
"--","--","--","cloyd21","Mining"
"785,155","2,920","16","cloyd21","Herb"
"--","--","--","cloyd21","Agile"
"--","--","--","cloyd21","Theiving"
"--","--","--","cloyd21","Slayer"
"--","--","--","cloyd21","Farming"
"--","--","--","cloyd21","RuneCrafting"
"--","--","--","cloyd21","Hunting"
"--","--","--","cloyd21","Construction"
"--","--","--","cloyd21","Summoning"
"--","--","--","cloyd21","Dungeoneering"
"595,113","4,481","20","cloyd21","Div"
"--","--","--","cloyd21","Inven"
"--","--","--","cloyd21","Arc"
"35,648","1,288,333,591","2,891","Anastasious","Overall"
"42,249","59,501,391","99","Anastasious","Atk"
"62,024","67,016,771","99","Anastasious","Def"
"151,371","16,849,827","99","Anastasious","Str"
"69,238","73,822,827","99","Anastasious","Constiution"
"67,288","51,072,797","99","Anastasious","Range"
"50,415","19,555,098","99","Anastasious","Prayer"
"68,371","47,686,624","99","Anastasious","Magic"
"122,193","14,549,575","99","Anastasious","Cooking"
"50,626","20,793,285","99","Anastasious","WoodCutting"
"104,445","14,220,404","99","Anastasious","Fletching"
"111,378","17,877,009","99","Anastasious","Fishing"
