"player","level_overall","level_atk","level_def","level_str","level_constiution","level_range","level_prayer","level_magic","level_cooking","level_wood_cutting","level_fletching","level_fishing","level_fire_making","level_crafting","level_smithing","level_mining","level_herb","level_agile","level_theiving","level_slayer","level_farming","level_rune_crafting","level_hunting","level_construction","level_summoning","level_dungeoneering","level_div","level_inven","level_arc","total_xp_overall","cluster","Basic_member_pure","Obby_Mauler_Pure","Black_Pure","Turmoil_Proselyte_Pure","Barrows_Pure","Anti_Pure","Summoning_Tank_Defence","Skiller_Pure","number_of_99s","number_of_120s"
"brunozo",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4537236260,1,0,0,0,0,0,0,0,0,22,6
"Vytautas45",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0,0,22,6
"iCyclone",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3347652512,2,0,0,0,0,0,0,0,0,22,6
"Thulthar",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0,0,22,6
"Gemcat",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0,0,22,6
"Melbourne",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0,0,22,6
"Jeffette",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5292404042,1,0,0,0,0,0,0,0,0,22,6
"Brad+is+rad",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2429639699,2,0,0,0,0,0,0,0,0,22,6
"Any+dcersss",2891,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,113,99,99,99,99,120,99,120,120,3029236974,2,0,0,0,0,0,0,0,0,22,5
"Akpaloli",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0,0,22,6
"Tank+Factor",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4184709271,1,0,0,0,0,0,0,0,0,22,6
"RsRuffy",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3947052656,1,0,0,0,0,0,0,0,0,22,6
"Alvil",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0,0,22,6
"ESCANOR+the1",2895,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,117,99,99,120,120,99,99,99,99,120,99,120,120,2128664460,2,0,0,0,0,0,0,0,0,22,5
"Konota",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0,0,22,6
"Calculus",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0,0,22,6
"weedfield",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4186523460,1,0,0,0,0,0,0,0,0,22,6
"ZIRGU+ZAGLIS",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0,0,22,6
"Yunahon",2879,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,109,99,99,120,115,99,99,99,99,120,99,120,117,2096992597,2,0,0,0,0,0,0,0,0,22,3
"Angel+Cloud",2623,99,99,99,99,99,99,99,60,78,95,66,99,91,99,80,102,84,71,104,120,96,99,85,99,90,83,120,109,1895361336,2,0,0,0,0,0,0,0,0,11,2
"iron+dude4",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3265888347,2,0,0,0,0,0,0,0,0,22,6
"Iris+By+GGD",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4554980883,1,0,0,0,0,0,0,0,0,22,6
"Lance+Jr",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2826158202,2,0,0,0,0,0,0,0,0,22,6
"Sleepy+Trev",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4980244265,1,0,0,0,0,0,0,0,0,22,6
"Ruby+Rose",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3226431223,2,0,0,0,0,0,0,0,0,22,6
"Terd",2896,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,118,99,120,120,2323927382,2,0,0,0,0,0,0,0,0,22,5
"CaptainLevi",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3323796878,2,0,0,0,0,0,0,0,0,22,6
"Connorina",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3466291350,1,0,0,0,0,0,0,0,0,22,6
"Fragile+Hope",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2511373318,2,0,0,0,0,0,0,0,0,22,6
"BradC",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2706445177,2,0,0,0,0,0,0,0,0,22,6
"Th0rium",2890,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,116,99,99,99,99,120,99,120,116,2043713183,2,0,0,0,0,0,0,0,0,22,4
"SkinTone5",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4246749051,1,0,0,0,0,0,0,0,0,22,6
"King+Tritonn",2517,99,99,99,99,99,99,99,74,91,79,99,79,86,81,85,98,89,98,101,85,91,78,81,99,90,84,120,36,1066398473,1,0,0,0,0,0,0,0,0,9,1
"Faveladoiraq",2881,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,103,4336135738,1,0,0,0,0,0,0,0,0,22,5
"Public+Enemy",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4733002470,1,0,0,0,0,0,0,0,0,22,6
"Cat+Champs",2531,99,99,99,99,99,99,99,99,99,78,94,85,95,94,86,104,91,78,103,90,78,86,99,99,100,87,92,1,818369053,1,0,0,0,0,0,0,0,0,11,0
"Mummybear",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5271956226,1,0,0,0,0,0,0,0,0,22,6
"K+Graber",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5278645846,1,0,0,0,0,0,0,0,0,22,6
"7+A+M+A+D+A",2712,99,99,99,99,99,99,99,99,83,99,93,99,99,99,99,106,99,90,100,60,75,89,99,99,114,99,120,99,1547689862,1,0,0,0,0,0,0,0,0,18,1
"Elsa+BLM",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5350473042,1,0,0,0,0,0,0,0,0,22,6
"Its+Luis",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3730646578,1,0,0,0,0,0,0,0,0,22,6
"Vorging",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2964587163,2,0,0,0,0,0,0,0,0,22,6
"Lazy+Dan",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3156401785,2,0,0,0,0,0,0,0,0,22,6
"Far+Quie",2888,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,110,3219007172,2,0,0,0,0,0,0,0,0,22,5
"N1GHT73",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2567398427,2,0,0,0,0,0,0,0,0,22,6
"Half+G",2835,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,104,99,99,111,103,99,99,99,99,120,99,120,99,1055239183,1,0,0,0,0,0,0,0,0,23,2
"Vincent+7c",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2345593807,2,0,0,0,0,0,0,0,0,22,6
"mrticklepro",2885,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,114,99,99,120,115,99,99,99,99,118,99,120,120,2130903283,2,0,0,0,0,0,0,0,0,22,3
"xMiztics",2894,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,116,2877348658,2,0,0,0,0,0,0,0,0,22,5
"King+Wadu",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,2318274379,2,0,0,0,0,0,0,0,0,22,6
