"player","level_overall","level_atk","level_def","level_str","level_constiution","level_range","level_prayer","level_magic","level_cooking","level_wood_cutting","level_fletching","level_fishing","level_fire_making","level_crafting","level_smithing","level_mining","level_herb","level_agile","level_theiving","level_slayer","level_farming","level_rune_crafting","level_hunting","level_construction","level_summoning","level_dungeoneering","level_div","level_inven","level_arc","total_xp_overall","cluster","Basic_member_pure","Obby_Mauler_Pure","Black_Pure","Turmoil_Proselyte_Pure","Barrows_Pure","Anti_Pure","Summoning_Tank_Defence"
"brunozo",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,4537236260,1,0,0,0,0,0,0,0
"RottenHarley",1521,65,65,63,65,57,55,64,74,65,81,69,56,61,91,92,57,74,44,35,48,52,36,37,22,33,16,1,43,22665814,1,0,0,0,0,0,0,0
"Vytautas45",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0
"K1NG+DEATH",755,64,1,81,74,1,52,30,38,36,20,54,43,50,47,1,1,25,1,1,1,38,16,1,1,1,43,1,1,4669413,1,0,0,0,0,0,0,0
"iCyclone",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,3347652512,2,0,0,0,0,0,0,0
"kremmern",335,64,41,36,40,57,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,1,1,1,784234,1,0,0,0,0,0,0,0
"Thulthar",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0
"Sacrel",659,64,62,64,64,44,24,47,1,80,1,1,36,38,30,23,1,1,15,1,1,1,1,1,1,1,1,1,1,3889038,1,0,0,0,0,0,0,0
"Gemcat",2898,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,120,99,99,120,120,99,99,99,99,120,99,120,120,5600000000,1,0,0,0,0,0,0,0
"John32991",1087,64,64,64,65,49,46,50,61,56,44,61,50,54,51,58,29,33,44,20,1,21,46,1,1,24,1,1,1,3695045,1,0,0,0,0,0,0,0
