"Rank","Total XP","Level","Player","Skill"
"149,519","681,990,506","2,702","J+A+I+Z","Overall"
"72,459","33,023,429","99","J+A+I+Z","Atk"
"92,019","36,388,965","99","J+A+I+Z","Def"
"77,695","30,127,027","99","J+A+I+Z","Str"
"113,889","43,538,317","99","J+A+I+Z","Constiution"
"121,852","23,860,644","99","J+A+I+Z","Range"
"117,653","14,662,311","99","J+A+I+Z","Prayer"
"115,582","24,940,903","99","J+A+I+Z","Magic"
"104,707","15,161,526","99","J+A+I+Z","Cooking"
"72,737","17,454,685","99","J+A+I+Z","WoodCutting"
"97,241","14,415,969","99","J+A+I+Z","Fletching"
"32,457","48,612,879","99","J+A+I+Z","Fishing"
"99,056","16,057,186","99","J+A+I+Z","FireMaking"
"105,539","14,963,168","99","J+A+I+Z","Crafting"
"40,274","25,325,445","99","J+A+I+Z","Smithing"
"118,597","16,683,921","99","J+A+I+Z","Mining"
"135,539","16,323,282","101","J+A+I+Z","Herb"
"107,831","14,751,715","99","J+A+I+Z","Agile"
"55,389","27,376,041","99","J+A+I+Z","Theiving"
"141,322","19,345,280","102","J+A+I+Z","Slayer"
"144,645","15,053,002","100","J+A+I+Z","Farming"
"130,044","13,276,360","99","J+A+I+Z","RuneCrafting"
"144,312","13,376,472","99","J+A+I+Z","Hunting"
"110,794","14,000,446","99","J+A+I+Z","Construction"
"142,006","13,553,141","99","J+A+I+Z","Summoning"
"41,475","106,997,377","120","J+A+I+Z","Dungeoneering"
"94,048","14,811,002","99","J+A+I+Z","Div"
"160,341","37,910,013","100","J+A+I+Z","Inven"
"--","--","--","J+A+I+Z","Arc"
"1,090,237","316,397","457","Grote+Mens","Overall"
"1,227,889","9,737","27","Grote+Mens","Atk"
"1,139,338","15,418","31","Grote+Mens","Def"
"1,209,543","9,937","27","Grote+Mens","Str"
"1,239,109","15,587","31","Grote+Mens","Constiution"
"--","--","--","Grote+Mens","Range"
"1,067,208","6,517","23","Grote+Mens","Prayer"
"1,153,016","6,243","22","Grote+Mens","Magic"
"--","--","--","Grote+Mens","Cooking"
"1,076,160","25,088","36","Grote+Mens","WoodCutting"
"919,076","2,673","15","Grote+Mens","Fletching"
"--","--","--","Grote+Mens","Fishing"
"1,038,145","16,250","31","Grote+Mens","FireMaking"
"973,794","14,866","31","Grote+Mens","Crafting"
"803,774","85,485","48","Grote+Mens","Smithing"
"867,728","98,332","49","Grote+Mens","Mining"
"--","--","--","Grote+Mens","Herb"
"--","--","--","Grote+Mens","Agile"
"--","--","--","Grote+Mens","Theiving"
"--","--","--","Grote+Mens","Slayer"
"--","--","--","Grote+Mens","Farming"
"--","--","--","Grote+Mens","RuneCrafting"
"--","--","--","Grote+Mens","Hunting"
"--","--","--","Grote+Mens","Construction"
"--","--","--","Grote+Mens","Summoning"
"--","--","--","Grote+Mens","Dungeoneering"
"--","--","--","Grote+Mens","Div"
"--","--","--","Grote+Mens","Inven"
"416,798","4,470","20","Grote+Mens","Arc"
"112,397","507,201,784","2,793","MrCry","Overall"
"72,460","33,023,194","99","MrCry","Atk"
"185,666","15,843,867","99","MrCry","Def"
"133,728","18,545,278","99","MrCry","Str"
"146,325","32,983,798","99","MrCry","Constiution"
"123,409","23,517,655","99","MrCry","Range"
"140,172","14,105,385","99","MrCry","Prayer"
"143,129","19,881,753","99","MrCry","Magic"
"158,712","13,718,400","99","MrCry","Cooking"
"192,240","13,284,306","99","MrCry","WoodCutting"
"178,747","13,243,650","99","MrCry","Fletching"
"101,172","19,154,543","99","MrCry","Fishing"
"193,751","13,365,817","99","MrCry","FireMaking"
"148,312","13,659,077","99","MrCry","Crafting"
"157,106","13,730,220","99","MrCry","Smithing"
"162,159","14,154,037","99","MrCry","Mining"
"104,131","22,183,226","104","MrCry","Herb"
"164,444","13,223,988","99","MrCry","Agile"
"156,838","13,373,577","99","MrCry","Theiving"
"139,910","19,624,908","103","MrCry","Slayer"
"91,898","27,585,115","106","MrCry","Farming"
"138,637","13,196,979","99","MrCry","RuneCrafting"
"161,831","13,154,873","99","MrCry","Hunting"
"153,447","13,189,149","99","MrCry","Construction"
"128,850","13,725,961","99","MrCry","Summoning"
"161,224","13,476,523","99","MrCry","Dungeoneering"
"151,684","13,215,309","99","MrCry","Div"
"150,011","42,091,521","102","MrCry","Inven"
"102,020","16,949,675","101","MrCry","Arc"
"--","--","--","Emile+Zola","Overall"
"--","--","--","Emile+Zola","Atk"
"--","--","--","Emile+Zola","Def"
"--","--","--","Emile+Zola","Str"
"--","--","--","Emile+Zola","Constiution"
"--","--","--","Emile+Zola","Range"
"--","--","--","Emile+Zola","Prayer"
"--","--","--","Emile+Zola","Magic"
"--","--","--","Emile+Zola","Cooking"
"--","--","--","Emile+Zola","WoodCutting"
"--","--","--","Emile+Zola","Fletching"
"--","--","--","Emile+Zola","Fishing"
"--","--","--","Emile+Zola","FireMaking"
"--","--","--","Emile+Zola","Crafting"
"--","--","--","Emile+Zola","Smithing"
"--","--","--","Emile+Zola","Mining"
"--","--","--","Emile+Zola","Herb"
"--","--","--","Emile+Zola","Agile"
"--","--","--","Emile+Zola","Theiving"
"--","--","--","Emile+Zola","Slayer"
"--","--","--","Emile+Zola","Farming"
"--","--","--","Emile+Zola","RuneCrafting"
"--","--","--","Emile+Zola","Hunting"
"--","--","--","Emile+Zola","Construction"
"--","--","--","Emile+Zola","Summoning"
"--","--","--","Emile+Zola","Dungeoneering"
"--","--","--","Emile+Zola","Div"
"--","--","--","Emile+Zola","Inven"
"--","--","--","Emile+Zola","Arc"
"40,169","1,117,660,921","2,885","xirishluck17","Overall"
"72,462","33,022,935","99","xirishluck17","Atk"
"92,142","36,317,447","99","xirishluck17","Def"
"70,292","33,236,947","99","xirishluck17","Str"
"104,058","48,202,019","99","xirishluck17","Constiution"
"110,921","26,791,983","99","xirishluck17","Range"
"56,797","18,491,872","99","xirishluck17","Prayer"
"81,379","38,055,305","99","xirishluck17","Magic"
"81,148","16,536,317","99","xirishluck17","Cooking"
"75,246","17,212,043","99","xirishluck17","WoodCutting"
"44,413","18,167,003","99","xirishluck17","Fletching"
"59,713","28,774,533","99","xirishluck17","Fishing"
"62,496","20,829,887","99","xirishluck17","FireMaking"
"65,443","18,041,707","99","xirishluck17","Crafting"
"30,598","32,640,692","99","xirishluck17","Smithing"
"98,229","18,857,889","99","xirishluck17","Mining"
"47,657","104,450,607","120","xirishluck17","Herb"
"63,832","18,383,316","99","xirishluck17","Agile"
"39,956","41,194,893","99","xirishluck17","Theiving"
"32,311","112,237,414","120","xirishluck17","Slayer"
"36,099","111,830,163","120","xirishluck17","Farming"
"79,339","14,424,801","99","xirishluck17","RuneCrafting"
"71,849","17,786,926","99","xirishluck17","Hunting"
"58,751","17,563,880","99","xirishluck17","Construction"
"71,595","15,473,556","99","xirishluck17","Summoning"
"83,835","37,568,728","109","xirishluck17","Dungeoneering"
"45,781","20,865,661","99","xirishluck17","Div"
"107,600","76,915,441","118","xirishluck17","Inven"
"27,493","123,786,956","120","xirishluck17","Arc"
"928,734","1,352,324","678","32+Chaos+169","Overall"
"1,227,890","9,737","27","32+Chaos+169","Atk"
"1,270,697","5,818","22","32+Chaos+169","Def"
"1,281,621","5,304","21","32+Chaos+169","Str"
"1,156,663","26,232","36","32+Chaos+169","Constiution"
"1,001,575","9,731","27","32+Chaos+169","Range"
"1,210,816","2,647","15","32+Chaos+169","Prayer"
"897,648","57,124","44","32+Chaos+169","Magic"
"810,832","101,726","50","32+Chaos+169","Cooking"
"839,531","141,483","53","32+Chaos+169","WoodCutting"
"--","--","--","32+Chaos+169","Fletching"
"690,648","214,125","57","32+Chaos+169","Fishing"
"690,183","220,865","57","32+Chaos+169","FireMaking"
"738,944","101,459","50","32+Chaos+169","Crafting"
"757,046","113,163","51","32+Chaos+169","Smithing"
"859,832","102,630","50","32+Chaos+169","Mining"
"--","--","--","32+Chaos+169","Herb"
"--","--","--","32+Chaos+169","Agile"
"--","--","--","32+Chaos+169","Theiving"
"--","--","--","32+Chaos+169","Slayer"
"--","--","--","32+Chaos+169","Farming"
"496,460","175,814","55","32+Chaos+169","RuneCrafting"
"--","--","--","32+Chaos+169","Hunting"
"--","--","--","32+Chaos+169","Construction"
"--","--","--","32+Chaos+169","Summoning"
"583,377","63,893","45","32+Chaos+169","Dungeoneering"
"--","--","--","32+Chaos+169","Div"
"--","--","--","32+Chaos+169","Inven"
"--","--","--","32+Chaos+169","Arc"
"445,265","118,418,234","1,784","Recruit93","Overall"
"72,463","33,022,725","99","Recruit93","Atk"
"221,539","14,032,940","99","Recruit93","Def"
"146,882","17,218,248","99","Recruit93","Str"
"200,582","23,237,846","99","Recruit93","Constiution"
"323,534","6,138,448","91","Recruit93","Range"
"446,587","790,871","70","Recruit93","Prayer"
"326,987","8,975,140","95","Recruit93","Magic"
"428,026","1,337,678","76","Recruit93","Cooking"
"508,667","1,405,024","76","Recruit93","WoodCutting"
"719,650","68,032","46","Recruit93","Fletching"
"278,238","4,350,611","87","Recruit93","Fishing"
"683,202","235,284","58","Recruit93","FireMaking"
"473,274","831,036","71","Recruit93","Crafting"
"707,540","150,648","53","Recruit93","Smithing"
"629,604","385,024","63","Recruit93","Mining"
"541,313","94,889","49","Recruit93","Herb"
"540,466","170,667","55","Recruit93","Agile"
"411,688","427,087","64","Recruit93","Theiving"
"470,255","463,041","65","Recruit93","Slayer"
"406,003","250,333","59","Recruit93","Farming"
"733,656","21,383","34","Recruit93","RuneCrafting"
"333,399","976,018","72","Recruit93","Hunting"
"441,742","365,240","62","Recruit93","Construction"
"474,869","157,525","54","Recruit93","Summoning"
"278,272","3,312,496","85","Recruit93","Dungeoneering"
"--","--","--","Recruit93","Div"
"--","--","--","Recruit93","Inven"
"--","--","--","Recruit93","Arc"
"1,220,849","213,733","326","pH3R86oU","Overall"
"1,227,891","9,737","27","pH3R86oU","Atk"
"1,218,682","8,757","26","pH3R86oU","Def"
"1,210,744","9,825","27","pH3R86oU","Str"
"1,301,842","10,708","27","pH3R86oU","Constiution"
"--","--","--","pH3R86oU","Range"
"1,079,817","5,976","22","pH3R86oU","Prayer"
"1,221,738","3,064","16","pH3R86oU","Magic"
"--","--","--","pH3R86oU","Cooking"
"1,094,567","21,950","34","pH3R86oU","WoodCutting"
"--","--","--","pH3R86oU","Fletching"
"--","--","--","pH3R86oU","Fishing"
"1,209,423","3,400","17","pH3R86oU","FireMaking"
"--","--","--","pH3R86oU","Crafting"
"951,387","33,919","39","pH3R86oU","Smithing"
"866,539","99,325","49","pH3R86oU","Mining"
"--","--","--","pH3R86oU","Herb"
"--","--","--","pH3R86oU","Agile"
"--","--","--","pH3R86oU","Theiving"
"--","--","--","pH3R86oU","Slayer"
"--","--","--","pH3R86oU","Farming"
"847,137","6,806","23","pH3R86oU","RuneCrafting"
"--","--","--","pH3R86oU","Hunting"
"--","--","--","pH3R86oU","Construction"
"--","--","--","pH3R86oU","Summoning"
"--","--","--","pH3R86oU","Dungeoneering"
"--","--","--","pH3R86oU","Div"
"--","--","--","pH3R86oU","Inven"
"--","--","--","pH3R86oU","Arc"
"114,653","721,673,166","2,789","TDW+Kasper","Overall"
"72,461","33,023,060","99","TDW+Kasper","Atk"
"97,507","33,484,316","99","TDW+Kasper","Def"
"68,935","33,872,597","99","TDW+Kasper","Str"
