"Rank","Total XP","Level","Player","Skill"
"912,456","973,007","694","Oreo+Cream","Overall"
"859,972","114,629","51","Oreo+Cream","Atk"
"992,149","44,458","41","Oreo+Cream","Def"
"1,019,276","40,391","40","Oreo+Cream","Str"
"1,035,369","56,489","44","Oreo+Cream","Constiution"
"1,025,671","6,872","23","Oreo+Cream","Range"
"1,142,606","3,765","18","Oreo+Cream","Prayer"
"1,043,312","16,349","31","Oreo+Cream","Magic"
"--","--","--","Oreo+Cream","Cooking"
"1,029,219","32,766","38","Oreo+Cream","WoodCutting"
"896,432","3,889","18","Oreo+Cream","Fletching"
"--","--","--","Oreo+Cream","Fishing"
"927,653","37,716","40","Oreo+Cream","FireMaking"
"589,864","304,881","61","Oreo+Cream","Crafting"
"995,215","24,007","35","Oreo+Cream","Smithing"
"1,340,599","2,586","15","Oreo+Cream","Mining"
"481,799","208,608","57","Oreo+Cream","Herb"
"766,222","16,359","31","Oreo+Cream","Agile"
"--","--","--","Oreo+Cream","Theiving"
"775,676","6,390","23","Oreo+Cream","Slayer"
"--","--","--","Oreo+Cream","Farming"
"669,278","40,001","40","Oreo+Cream","RuneCrafting"
"--","--","--","Oreo+Cream","Hunting"
"714,163","5,222","21","Oreo+Cream","Construction"
"--","--","--","Oreo+Cream","Summoning"
"--","--","--","Oreo+Cream","Dungeoneering"
"--","--","--","Oreo+Cream","Div"
"--","--","--","Oreo+Cream","Inven"
"--","--","--","Oreo+Cream","Arc"
"744,963","1,840,404","1,011","Lusty+Twin","Overall"
"918,983","88,570","48","Lusty+Twin","Atk"
"876,153","103,611","50","Lusty+Twin","Def"
"977,138","58,278","44","Lusty+Twin","Str"
"948,158","103,564","50","Lusty+Twin","Constiution"
"975,548","12,537","29","Lusty+Twin","Range"
"765,639","56,833","44","Lusty+Twin","Prayer"
"717,367","259,228","59","Lusty+Twin","Magic"
"721,770","167,175","55","Lusty+Twin","Cooking"
"915,139","76,795","47","Lusty+Twin","WoodCutting"
"776,962","26,491","36","Lusty+Twin","Fletching"
"729,561","164,603","54","Lusty+Twin","Fishing"
"1,035,405","15,507","31","Lusty+Twin","FireMaking"
"700,715","123,595","51","Lusty+Twin","Crafting"
"721,732","133,479","52","Lusty+Twin","Smithing"
"721,497","228,378","58","Lusty+Twin","Mining"
"704,184","9,224","26","Lusty+Twin","Herb"
"657,973","44,140","41","Lusty+Twin","Agile"
"644,717","42,566","41","Lusty+Twin","Theiving"
"769,321","7,066","24","Lusty+Twin","Slayer"
"679,651","3,327","17","Lusty+Twin","Farming"
"615,101","71,522","46","Lusty+Twin","RuneCrafting"
"669,083","6,975","23","Lusty+Twin","Hunting"
"695,994","7,334","24","Lusty+Twin","Construction"
"--","--","--","Lusty+Twin","Summoning"
"766,019","6,816","23","Lusty+Twin","Dungeoneering"
"518,556","22,790","35","Lusty+Twin","Div"
"--","--","--","Lusty+Twin","Inven"
"--","--","--","Lusty+Twin","Arc"
"712,404","4,464,839","1,083","DashyJayz","Overall"
"707,434","347,562","62","DashyJayz","Atk"
"731,125","284,109","60","DashyJayz","Def"
"683,425","526,638","66","DashyJayz","Str"
"732,134","450,573","65","DashyJayz","Constiution"
"663,602","226,987","58","DashyJayz","Range"
"664,801","104,140","50","DashyJayz","Prayer"
"723,148","249,278","59","DashyJayz","Magic"
"664,893","242,899","58","DashyJayz","Cooking"
"579,136","889,263","71","DashyJayz","WoodCutting"
"623,011","200,123","56","DashyJayz","Fletching"
"725,060","168,716","55","DashyJayz","Fishing"
"633,305","314,613","61","DashyJayz","FireMaking"
"636,035","201,850","56","DashyJayz","Crafting"
"844,331","61,757","45","DashyJayz","Smithing"
"825,693","118,639","51","DashyJayz","Mining"
"687,745","11,144","28","DashyJayz","Herb"
"790,715","12,169","29","DashyJayz","Agile"
"696,024","21,749","34","DashyJayz","Theiving"
"830,052","2,509","15","DashyJayz","Slayer"
"--","--","--","DashyJayz","Farming"
"753,914","16,585","32","DashyJayz","RuneCrafting"
"--","--","--","DashyJayz","Hunting"
"751,367","2,491","15","DashyJayz","Construction"
"651,997","3,839","18","DashyJayz","Summoning"
"785,383","5,332","21","DashyJayz","Dungeoneering"
"--","--","--","DashyJayz","Div"
"--","--","--","DashyJayz","Inven"
